company_id,display_name,primary_cik,ticker,sic,sic_description,industry_profile,fiscal_year_end,target_period_policy,entity_continuity_status,related_ciks,roles
marriott_international,Marriott International,1048286,MAR,7011,Hotels & Motels,lodging,1231,latest_10k,continuous,,primary:1048286
southwest_airlines,Southwest Airlines,92380,LUV,4512,"Air Transportation, Scheduled",airline,1231,latest_10k,continuous,,primary:92380
ford_motor_company,Ford Motor Company,37996,F,3711,Motor Vehicles & Passenger Car Bodies,manufacturing,1231,latest_10k,continuous,,primary:37996
pfizer,Pfizer,78003,PFE,2834,Pharmaceutical Preparations,pharma,1231,latest_10k,continuous,,primary:78003
jpmorgan_chase,JPMorgan Chase,19617,JPM,6021,National Commercial Banks,financial_institution,1231,latest_10k,continuous,,primary:19617
salesforce,Salesforce,1108524,CRM,7372,Services-Prepackaged Software,subscription_or_contract_revenue,0131,latest_10k,continuous,,primary:1108524
lumen_technologies,Lumen Technologies,18926,LUMN,4813,Telephone Communications (No Radiotelephone),telecom,1231,latest_10k,continuous,,primary:18926
macys,Macy's,794367,M,5311,Retail-Department Stores,retail,0201,latest_10k,continuous,,primary:794367
paramount_skydance_paramount_global,Paramount Skydance / Paramount Global,2041610,PSKY,4833,Television Broadcasting Stations,media,1231,latest_10k,successor_predecessor,813828,successor:2041610;predecessor:813828
enphase_energy,Enphase Energy,1463101,ENPH,3674,Semiconductors & Related Devices,manufacturing,1231,latest_10k,continuous,,primary:1463101
