company,cik,metric_id,accession,companyfacts_value,instance_value,match_status,reason
Marriott International,1048286,B01,0001048286-26-000007,26186000000,26186000000,MATCH,Compared first same concept/period/accession instance fact.
Marriott International,1048286,B04,0001048286-26-000007,2601000000,2601000000,MATCH,Compared first same concept/period/accession instance fact.
Marriott International,1048286,B09,0001048286-26-000007,358000000,358000000,MATCH,Compared first same concept/period/accession instance fact.
Southwest Airlines,92380,B01,0000092380-26-000004,28063000000,28063000000,MATCH,Compared first same concept/period/accession instance fact.
Southwest Airlines,92380,B04,0000092380-26-000004,441000000,441000000,MATCH,Compared first same concept/period/accession instance fact.
Southwest Airlines,92380,B09,0000092380-26-000004,3231000000,3231000000,MATCH,Compared first same concept/period/accession instance fact.
Ford Motor Company,37996,B01,0000037996-26-000015,187267000000,187267000000,MATCH,Compared first same concept/period/accession instance fact.
Ford Motor Company,37996,B04,0000037996-26-000015,-8162000000,-8162000000,MATCH,Compared first same concept/period/accession instance fact.
Ford Motor Company,37996,B09,0000037996-26-000015,23356000000,23356000000,MATCH,Compared first same concept/period/accession instance fact.
Pfizer,78003,B01,0000078003-26-000026,62579000000,62579000000,MATCH,Compared first same concept/period/accession instance fact.
Pfizer,78003,B04,0000078003-26-000026,7771000000,7771000000,MATCH,Compared first same concept/period/accession instance fact.
Pfizer,78003,B09,0000078003-26-000026,1142000000,1142000000,MATCH,Compared first same concept/period/accession instance fact.
Salesforce,1108524,B01,0001108524-26-000060,41525000000,41525000000,MATCH,Compared first same concept/period/accession instance fact.
Salesforce,1108524,B04,0001108524-26-000060,7457000000,7457000000,MATCH,Compared first same concept/period/accession instance fact.
Salesforce,1108524,B09,0001108524-26-000060,7327000000,7327000000,MATCH,Compared first same concept/period/accession instance fact.
Lumen Technologies,18926,B01,0000018926-26-000014,11331000000,11331000000,MATCH,Compared first same concept/period/accession instance fact.
Lumen Technologies,18926,B04,0000018926-26-000014,-1739000000,-1739000000,MATCH,Compared first same concept/period/accession instance fact.
Lumen Technologies,18926,B09,0000018926-26-000014,1003000000,1003000000,MATCH,Compared first same concept/period/accession instance fact.
Macy's,794367,B01,0001628280-26-021721,21764000000,21764000000,MATCH,Compared first same concept/period/accession instance fact.
Macy's,794367,B04,0001628280-26-021721,642000000,642000000,MATCH,Compared first same concept/period/accession instance fact.
Macy's,794367,B09,0001628280-26-021721,1246000000,1246000000,MATCH,Compared first same concept/period/accession instance fact.
Paramount Skydance / Paramount Global,2041610,B09,0002041610-26-000011,3274000000,3274000000,MATCH,Compared first same concept/period/accession instance fact.
Enphase Energy,1463101,B01,0001463101-26-000013,1472985000,1472985000,MATCH,Compared first same concept/period/accession instance fact.
Enphase Energy,1463101,B04,0001463101-26-000013,172133000,172133000,MATCH,Compared first same concept/period/accession instance fact.
Enphase Energy,1463101,B09,0001463101-26-000013,474318000,474318000,MATCH,Compared first same concept/period/accession instance fact.
